Book Name,Author,Type,Genre,Language,Small Description
The Immortals of Meluha,Amish Tripathi,Novel,Mythological Fiction,English,First book in the Shiva Trilogy exploring mythology and adventure.
The Secret of the Nagas,Amish Tripathi,Novel,Mythological Fiction,English,Second part of the Shiva Trilogy focusing on the mysterious Nagas.
The Oath of the Vayuputras,Amish Tripathi,Novel,Mythological Fiction,English,Final book of the Shiva Trilogy about destiny and war.
Scion of Ikshvaku,Amish Tripathi,Novel,Mythological Fiction,English,First book in the Ram Chandra series based on Lord Rama.
Sita: Warrior of Mithila,Amish Tripathi,Novel,Mythological Fiction,English,Story of Sita portrayed as a strong warrior and leader.
Raavan: Enemy of Aryavarta,Amish Tripathi,Novel,Mythological Fiction,English,Retelling of Raavan’s journey and rise to power.
War of Lanka,Amish Tripathi,Novel,Mythological Fiction,English,Epic conclusion of the Ram Chandra series.
The Chola Tigers,Amish Tripathi,Novel,Historical Fiction,English,Story inspired by the Chola dynasty and ancient India.
It Ends With Us,Colleen Hoover,Novel,Romance / Drama,English,A contemporary romance dealing with relationships and emotional conflict.
Love in the Time of Cholera,Gabriel García Márquez,Novel,Literary Fiction,English,Classic love story spanning decades.
Shantaram,Gregory David Roberts,Novel,Adventure / Literary Fiction,English,Story of an escaped convict finding life in Mumbai.
The Godfather,Mario Puzo,Novel,Crime Fiction,English,Classic mafia family drama and power struggle.
The Sicilian,Mario Puzo,Novel,Crime Fiction,English,Crime novel set in Sicily connected to The Godfather universe.
Norwegian Wood,Haruki Murakami,Novel,Literary Fiction,English,Emotional coming-of-age story set in Japan.
Kafka on the Shore,Haruki Murakami,Novel,Magical Realism,English,Surreal and philosophical journey with parallel narratives.
The Kite Runner,Khaled Hosseini,Novel,Historical Drama,English,"Story of friendship, guilt, and redemption in Afghanistan."
A Thousand Splendid Suns,Khaled Hosseini,Novel,Historical Drama,English,Powerful story about women’s lives in Afghanistan.
Angels & Demons,Dan Brown,Novel,Thriller / Mystery,English,Fast-paced thriller involving secret societies and science.
The Da Vinci Code,Dan Brown,Novel,Thriller / Mystery,English,Mystery thriller involving hidden religious secrets.
The Lost Symbol,Dan Brown,Novel,Thriller / Mystery,English,Robert Langdon investigates Masonic mysteries.
Inferno,Dan Brown,Novel,Thriller / Mystery,English,Thriller inspired by Dante’s Inferno and global threats.
Crime and Punishment,Fyodor Dostoevsky,Novel,Philosophical Fiction,English,Classic Russian novel exploring morality and guilt.
The Brothers Karamazov,Fyodor Dostoevsky,Novel,Philosophical Fiction,English,Deep philosophical and spiritual family drama.
War and Peace,Leo Tolstoy,Novel,Historical Fiction,English,Epic novel set during the Napoleonic wars.
The Idiot,Fyodor Dostoevsky,Novel,Philosophical Fiction,English,"Novel about innocence, society, and human nature."
The Greatest Short Stories of Anton Chekhov,Anton Chekhov,Short Stories,Classic Literature,English,Collection of influential Russian short stories.
The Count of Monte Cristo,Alexandre Dumas,Novel,Adventure / Classic,English,"Story of betrayal, revenge, and redemption."
Hard Times,Charles Dickens,Novel,Classic Literature,English,Critique of industrial society and utilitarianism.
Les Misérables,Victor Hugo,Novel,Historical Fiction,English,"Classic French novel about justice, love, and revolution."
Romeo and Juliet,William Shakespeare,Play,Tragedy,English,Famous tragic love story between two young lovers.
The Merchant of Venice,William Shakespeare,Play,Drama,English,"Play dealing with mercy, justice, and prejudice."
Othello,William Shakespeare,Play,Tragedy,English,Tragic story of jealousy and manipulation.
The Tempest,William Shakespeare,Play,Drama / Comedy,English,"A Shakespearean play about magic, betrayal, and reconciliation."
Macbeth,William Shakespeare,Play,Tragedy,English,"A tragic story of ambition, power, and guilt."
Hamlet,William Shakespeare,Play,Tragedy,English,One of Shakespeare’s greatest tragedies about revenge and madness.
Julius Caesar,William Shakespeare,Play,Historical Tragedy,English,Political drama based on the assassination of Julius Caesar.
Zorba the Greek,Nikos Kazantzakis,Novel,Philosophical Fiction,English,"A philosophical novel about freedom, life, and human nature."
The Alchemist,Paulo Coelho,Novel,Philosophical Fiction,English,Inspirational story about following one’s dreams.
The Pilgrimage,Paulo Coelho,Novel,Spiritual Fiction,English,Journey of self-discovery along the Camino trail.
Brida,Paulo Coelho,Novel,Spiritual Fiction,English,A young woman’s search for wisdom and spirituality.
Eleven Minutes,Paulo Coelho,Novel,Romance / Philosophy,English,"Story exploring love, relationships, and self-awareness."
Aleph,Paulo Coelho,Novel,Spiritual Memoir,English,"Spiritual journey through time, memory, and self-discovery."
The Forty Rules of Love,Elif Shafak,Novel,Spiritual Fiction,English,Novel inspired by Rumi and Sufi philosophy.
The Prophet,Kahlil Gibran,Poetry / Prose,Philosophy,English,Collection of poetic essays on life and spirituality.
Rich Dad Poor Dad,Robert Kiyosaki,Finance,Personal Finance,English,Book teaching financial literacy and wealth-building.
The Richest Man in Babylon,George S. Clason,Finance,Personal Finance,English,Classic book on saving and wealth principles.
Just Keep Buying,Nick Maggiulli,Finance,Investing,English,Practical guide to building wealth through investing.
Coffee Can Investing,"Saurabh Mukherjea, Rakshit Ranjan, Pranab Uniyal",Finance,Investing,English,Investment strategy focused on long-term wealth creation.
The Intelligent Investor,Benjamin Graham,Finance,Value Investing,English,Classic book on value investing principles.
The Psychology of Money,Morgan Housel,Finance,Behavioral Finance,English,"Insights into money, investing, and human behavior."
The Rise of Sivagami,Anand Neelakantan,Novel,Fantasy / Mythology,English,Story set in the Baahubali universe.
2 States,Chetan Bhagat,Novel,Romance,English,Romantic story about cultural differences and marriage.
Five Point Someone,Chetan Bhagat,Novel,Campus Fiction,English,Story about engineering students and academic pressure.
Half Girlfriend,Chetan Bhagat,Novel,Romance,English,"Story of friendship, love, and ambition."
Three Thousand Stitches,Sudha Murty,Short Stories,Inspirational,English,Collection of inspiring real-life stories.
Wise and Otherwise,Sudha Murty,Short Stories,Inspirational,English,Stories reflecting kindness and human values.
The Old Man and His God,Sudha Murty,Short Stories,Inspirational,English,Stories inspired by ordinary people and experiences.
The White Tiger,Aravind Adiga,Novel,Satire / Drama,English,Dark satirical story about class struggle in India.
Selected Short Stories of Oscar Wilde,Oscar Wilde,Short Stories,Classic Literature,English,Collection of witty and imaginative short stories.
Malgudi Days,R.K. Narayan,Short Stories,Indian Fiction,English,Stories set in the fictional town of Malgudi.
The God of Small Things,Arundhati Roy,Novel,Literary Fiction,English,"Novel exploring family, society, and forbidden love."
To Kill a Mockingbird,Harper Lee,Novel,Classic Fiction,English,Story about justice and racial inequality.
Fathers and Sons,Ivan Turgenev,Novel,Classic Literature,English,Novel about generational conflict and nihilism.
The Palace of Illusions,Chitra Banerjee Divakaruni,Novel,Mythological Fiction,English,Mahabharata retold from Draupadi’s perspective.
Metamorphosis,Franz Kafka,Novella,Existential Fiction,English,Surreal story of transformation and alienation.
The Book of Man,Osho,Philosophy,Self-help / Spirituality,English,Insights into masculinity and self-awareness.
The Book of Woman,Osho,Philosophy,Self-help / Spirituality,English,Exploration of femininity and relationships.
Fear,Osho,Philosophy,Self-help / Spirituality,English,Discussion on overcoming fear and anxiety.
Learning to Silence the Mind,Osho,Philosophy,Meditation,English,Teachings about mindfulness and inner peace.
Living on Your Own Terms,Osho,Philosophy,Self-help,English,Book encouraging freedom and individuality.
The Complete Book of Yoga,Swami Vivekananda,Spiritual,Yoga / Philosophy,English,Comprehensive teachings on yoga and spirituality.
Meditations,Marcus Aurelius,Philosophy,Stoicism,English,Personal reflections of the Roman emperor on Stoic philosophy.
The Art of Happiness,Dalai Lama & Howard Cutler,Self-help,Psychology / Spirituality,English,Guide to achieving happiness and peace of mind.
Letters from a Stoic,Seneca,Philosophy,Stoicism,English,Collection of Stoic philosophical letters.
Beyond Good and Evil,Friedrich Nietzsche,Philosophy,Existentialism,English,Philosophical critique of morality and truth.
Thus Spoke Zarathustra,Friedrich Nietzsche,Philosophy,Existentialism,English,Philosophical novel introducing Nietzsche’s ideas.
Autobiography of a Yogi,Paramahansa Yogananda,Autobiography,Spirituality,English,Spiritual autobiography of a famous yogi.
Reflections,Swami Vivekananda,Philosophy,Spirituality,English,Collection of teachings and reflections.
Siddhartha,Hermann Hesse,Novel,Philosophical Fiction,English,Spiritual journey inspired by Buddhist philosophy.
Rebel Sultans,Manu S. Pillai,History,Indian History,English,History of Deccan rulers and politics.
"Courtesan, the Mahatma & the Italian Brahmin",Manu S. Pillai,History,Indian History,English,Essays on lesser-known Indian historical stories.
Cosmos,Carl Sagan,Science,Cosmology,English,Exploration of the universe and scientific discovery.
An Era of Darkness,Shashi Tharoor,History,Colonial History,English,Critique of British colonial rule in India.
Homo Deus,Yuval Noah Harari,Non-fiction,Future Studies,English,Exploration of humanity’s future and technology.
21 Lessons for the 21st Century,Yuval Noah Harari,Non-fiction,Society / Politics,English,Discussion of modern global challenges.
Sapiens,Yuval Noah Harari,Non-fiction,History / Anthropology,English,History of humankind from evolution to modern society.
The Art of War,Sun Tzu,Strategy,Military Strategy,English,Ancient Chinese treatise on warfare and leadership.
The Courage to Be Disliked,Ichiro Kishimi & Fumitake Koga,Self-help,Psychology,English,Book introducing Adlerian psychology concepts.
The Art of Letting Go,Nick Trenton,Self-help,Mental Wellness,English,Guide to emotional healing and personal growth.
Think Fast and Slow,Daniel Kahneman,Psychology,Behavioral Psychology,English,Study of human thinking and decision-making.
The Power,Rhonda Byrne,Self-help,Motivation,English,Book about positive thinking and attraction.
The Secret,Rhonda Byrne,Self-help,Motivation,English,Popular book on the law of attraction.
Ikigai,Héctor García & Francesc Miralles,Self-help,Lifestyle,English,Japanese concept of purpose and meaningful living.
Atomic Habits,James Clear,Self-help,Habit Building,English,Practical strategies for building good habits.
The Subtle Art of Not Giving a F*ck,Mark Manson,Self-help,Personal Development,English,Counterintuitive approach to living a better life.
The Monk Who Sold His Ferrari,Robin Sharma,Self-help,Motivational,English,Story about balancing success and inner fulfillment.
The 5 AM Club,Robin Sharma,Self-help,Productivity,English,Book promoting early morning routines for success.
Mindset,Carol S. Dweck,Psychology,Personal Growth,English,Explains growth mindset versus fixed mindset.
Deep Work,Cal Newport,Productivity,Self-improvement,English,Strategies for focused and meaningful work.
The Discovery of India,Jawaharlal Nehru,History,Indian History,English,Exploration of Indian history and culture.
Annihilation of Caste,B.R. Ambedkar,Social Critique,Politics / Society,English,Powerful critique of the caste system.
Why I Am an Atheist,Bhagat Singh,Essay,Philosophy / Politics,English,Essay discussing rationalism and atheism.
The Republic,Plato,Philosophy,Political Philosophy,English,Classical philosophical dialogue about justice and society.
1984,George Orwell,Novel,Dystopian Fiction,English,Classic dystopian novel about surveillance and authoritarianism.
Animal Farm,George Orwell,Novel,Political Satire,English,Political allegory based on the Russian Revolution.
Mein Kampf,Adolf Hitler,Political,Autobiography / Ideology,English,Autobiographical and political manifesto by Adolf Hitler.
Long Walk to Freedom,Nelson Mandela,Autobiography,Political Memoir,English,Autobiography of Nelson Mandela’s life and struggle.
Capital,Karl Marx,Economics,Political Economy,English,Foundational critique of capitalism and economics.
Asura,Anand Neelakantan,Novel,Mythological Fiction,English,Ramayana retold from Ravana’s perspective.
False Allies,Manu S. Pillai,History,Indian History,English,Historical exploration of alliances and politics in India.
,,,,,
Can’t Hurt Me,David Goggins,Self-help,Motivational,English,Memoir and self-discipline guide by David Goggins.
Three Cups of Tea,Greg Mortenson & David Oliver Relin,Biography,Inspirational,English,Story about education and humanitarian work in Pakistan and Afghanistan.
The Doctor and the Saint,Arundhati Roy,Political Essay,Politics / Society,English,"Examination of Ambedkar, Gandhi, and caste politics."
Azadi,Arundhati Roy,Essays,Politics / Society,English,"Collection of essays on freedom, politics, and democracy."
Man-Eaters of Kumaon,Jim Corbett,Adventure,Wildlife,English,Classic hunting and wildlife stories set in India.
You Can,George Matthew Adams,Self-help,Motivational,English,Inspirational guide encouraging self-confidence and persistence.
Devil’s Advocate,Karan Thapar,Memoir / Journalism,Political Interviews,English,Insights from Karan Thapar’s journalism career and interviews.
Becoming,Michelle Obama,Memoir,Autobiography,English,Memoir of former First Lady Michelle Obama.
The Diary of a Young Girl,Anne Frank,Diary,Historical Memoir,English,World-famous diary written during World War II.
A Century Is Not Enough,Sourav Ganguly,Autobiography,Sports Memoir,English,"Memoir of former Indian cricket captain Sourav Ganguly reflecting on cricket, leadership, controversies, and personal life."
Man’s Search for Meaning,Viktor Frankl,Psychology / Memoir,Existential Psychology,English,Profound book combining Viktor Frankl’s experiences in Nazi concentration camps with his philosophy that humans can find meaning even in suffering.
Who Will Cry When You Die,Robin Sharma,Self-help,Motivation / Life Lessons,English,Collection of short life lessons and reflections focused on meaningful living and personal growth.
Who Moved My Cheese?,Spencer Johnson,Self-help,Motivation / Business,English,Simple allegorical story about adapting to change in life and work.
Kaizen,Sarah Harvey,Self-help,Productivity / Lifestyle,English,Introduction to the Japanese philosophy of continuous self-improvement through small daily habits.
The 48 Laws of Power,Robert Greene,Self-help / Strategy,Psychology / Power Dynamics,English,"Influential book exploring power, manipulation, leadership, and social strategy through historical examples and psychological insights."
